attendance_pct,study_hours_per_day,sleep_hours,assignment_score,previous_score,extracurricular_hours,internet_access,at_risk
81.7,0.9,6.5,86.5,70.4,2.1,Yes,0
65.5,2.1,8.1,100.0,78.7,1.7,Yes,0
87.0,3.4,7.3,51.2,69.8,2.8,Yes,0
89.3,2.7,6.2,93.9,85.6,2.5,Yes,0
54.6,1.9,6.0,73.1,62.6,0.0,No,1
62.4,1.9,5.2,84.1,48.7,2.5,Yes,1
79.5,1.8,7.3,47.3,100.0,0.6,Yes,0
74.2,1.6,6.6,94.0,60.3,0.1,Yes,0
77.8,6.0,4.4,83.8,60.9,1.6,Yes,0
67.8,3.2,6.4,71.4,68.9,2.3,Yes,1
88.6,4.0,6.0,81.7,71.1,0.0,Yes,0
87.3,2.1,8.7,60.5,63.8,2.6,Yes,0
78.8,2.5,5.1,63.3,69.7,2.7,Yes,0
91.5,1.8,5.4,65.0,69.4,1.9,Yes,0
83.6,0.0,8.2,44.2,72.8,0.8,Yes,1
67.7,0.9,8.5,84.9,32.3,0.6,Yes,1
82.4,0.3,6.2,89.9,100.0,3.0,Yes,0
66.5,0.0,6.3,61.5,67.6,0.0,No,1
88.5,1.1,7.7,77.2,79.3,3.1,Yes,0
77.4,4.7,4.4,68.0,48.0,1.6,Yes,0
75.8,2.7,5.0,76.9,62.5,1.7,No,0
69.8,4.6,6.7,62.6,59.2,0.0,Yes,0
92.7,3.4,8.7,58.7,93.5,1.6,Yes,0
76.1,3.9,6.5,87.8,60.6,2.5,Yes,0
72.9,1.5,7.1,71.0,82.1,0.2,Yes,0
73.8,3.5,8.2,100.0,59.6,2.4,Yes,0
84.4,3.8,9.3,72.7,62.8,1.9,Yes,0
82.4,2.0,6.4,58.1,66.1,1.0,Yes,0
83.0,3.6,7.0,90.4,90.5,2.8,No,0
83.2,3.6,9.0,81.5,39.8,0.0,Yes,0
100.0,2.0,5.3,82.9,48.9,2.2,Yes,0
73.1,1.2,8.1,89.9,38.8,3.7,Yes,1
71.9,1.1,5.9,62.2,52.6,3.5,Yes,1
68.2,2.9,7.1,70.1,57.0,2.3,Yes,0
85.4,3.3,6.7,69.4,44.2,1.4,Yes,0
91.5,1.7,5.9,52.6,58.3,1.0,Yes,1
76.6,2.8,5.9,68.0,37.8,1.4,Yes,1
67.9,3.6,7.3,92.0,53.7,2.5,Yes,0
68.1,3.7,8.1,75.6,89.2,0.8,Yes,0
85.8,5.0,6.9,51.8,76.5,2.7,Yes,0
86.9,4.6,7.1,48.7,73.0,4.4,Yes,0
84.5,1.4,7.6,97.0,54.0,1.7,Yes,0
70.0,5.2,5.9,70.6,45.4,0.2,Yes,0
80.8,2.1,7.8,62.3,51.8,0.2,Yes,1
79.4,4.3,7.9,67.9,69.3,2.7,Yes,0
80.6,2.9,9.9,49.8,83.9,1.7,Yes,1
88.5,2.2,6.6,93.3,84.4,2.9,Yes,0
80.7,0.3,6.5,66.1,80.1,1.2,Yes,0
86.1,2.6,7.8,92.5,58.2,2.8,No,0
78.8,0.6,7.9,72.8,70.4,1.6,Yes,0
81.5,4.2,6.4,93.4,64.9,0.9,Yes,0
85.6,4.9,6.6,75.9,66.8,1.3,No,0
60.5,1.7,7.6,84.8,100.0,0.4,Yes,0
74.2,3.2,6.1,82.8,41.8,4.2,Yes,0
72.4,1.8,6.5,81.3,66.2,1.7,Yes,0
70.3,1.9,7.1,77.2,89.4,2.6,Yes,0
74.7,3.9,8.1,68.5,46.5,1.2,Yes,1
95.9,2.7,6.3,100.0,59.7,0.5,Yes,0
67.6,5.2,5.0,58.4,61.5,1.5,Yes,0
89.6,2.1,4.9,72.1,66.4,3.1,Yes,0
57.8,4.2,5.6,72.2,44.5,1.2,Yes,1
74.0,2.9,5.6,78.0,79.5,0.8,No,0
80.0,3.9,6.8,65.6,80.7,2.0,No,0
85.0,2.2,5.7,76.7,78.1,2.4,Yes,0
86.5,2.7,6.2,69.5,56.1,3.8,Yes,0
87.5,2.6,6.1,48.3,71.4,2.2,Yes,0
73.8,1.6,6.5,72.1,55.6,2.6,Yes,0
72.5,3.7,8.5,55.5,64.7,2.7,Yes,0
88.3,3.7,7.7,46.0,100.0,0.4,Yes,0
75.7,3.6,7.0,74.1,71.5,0.6,Yes,0
62.7,5.0,6.5,79.3,51.0,0.5,Yes,0
64.4,4.8,6.5,79.9,72.9,0.2,Yes,0
67.0,2.3,7.4,80.5,48.4,2.8,Yes,1
84.0,3.3,7.6,43.0,50.8,2.1,Yes,1
79.7,1.9,6.0,51.6,53.3,1.9,Yes,1
86.3,2.8,7.0,100.0,62.9,0.0,Yes,0
72.9,2.0,4.8,56.3,85.0,4.3,No,1
79.9,5.1,7.2,81.2,79.3,0.7,Yes,0
85.5,3.3,7.8,61.7,78.4,4.3,Yes,0
74.3,2.5,6.7,73.2,52.4,0.1,Yes,0
83.5,4.5,9.0,62.5,61.3,0.8,Yes,0
